9351,Elisanne,100002_01_r04,water,lance,4546,Gaibhne &amp; Creidhne,210120_01,Ame no Nuhoko,305136_01_60201,Once in a Lifetime,400437_02,Sisters&#x27; Day Out,400243_02,Warrior Maiden,400080_02,From Whence He Comes,400390_02,Bellathorna,400009_02,Summer Estelle,110063_02_r04,Hunter Sarisse,100029_03_r05,Tobias,110352_01_r05,Mikoto,110010_01_r05,Summer Cleo,100004_04_r05,always connect hits & hp60,55MC,frostbite:100.0%;team:167.14397%,x:9183,fs:167
145730,Gala Alex,100005_02_r05,shadow,sword,4478,Gala Cat Sìth,200017_01,Yitian Jian,301142_01_60501,Howling to the Heavens,400395_02,Memory of a Friend,400429_02,The Shining Overlord,400167_02,His Clever Brother,400169_02,The Plaguebringer,400410_02,Ieyasu,110313_01_r05,Wand,,Summer Patia,110335_02_r05,Weapon,,Fjorm,110328_01_r05,99 freeze res & 0 frostbite res & 0 poison res & 99 sleep res & always connect hits & hp≤40 & hit15,10.26s sim; 3 charges into bk + bk killer chain; no bk def adjustment,poison:100.0%;frostbite:100.0%;team:5.15798%,x:6423,fs:1396,s1_base1:10361,s1_break1:56603,s2_break2:70945
80643,Gala Luca,100006_09_r05,light,blade,4403,Gala Thor,200018_01,Fragarach,302132_01_60401,Memory of a Friend,400429_02,Spirit of the Season,400393_02,Valiant Crown,400062_02,A Small Courage,400421_02,The Plaguebringer,400410_02,Lucretia,110305_01_r05,Axe2,,Peony,110361_01_r05,Weapon,,Rodrigo,110046_01_r03,0 poison res & 0 paralysis res & hit10 & hit15,avg buff icon 7.00 (s1 7.00),paralysis:100.0%;poison:64.2%;energy:5,x:13897,s1:43367,s4:8275,s4_poison:2766,dx:1907,ds_paralysis:229,ds:10199
110097,Hunter Sarisse,100029_03_r05,water,bow,4431,Nimis,210053_01,Ame no Hajiyumi,306128_01_60201,Dear Diary,400391_02,Memory of a Friend,400429_02,The Lurker in the Woods,400418_02,Chariot Drift,400392_02,His Clever Brother,400169_02,Renee,110265_01_r04,Xander,110022_01_r05,Grace,110059_01_r05,Weapon,,Yue,110056_01_r04,always connect hits & hit10 & hit15,20hit FS,frostbite:100.0%,fs4:68821,fs4_extra1:16029,fs4_extra2:4805,fs4_extra3:1430,fs4_extra4:429,s1:18580
98332,Lathna,110349_01_r05,shadow,lance,4757,Gala Cat Sìth,200017_01,Qinglong Yanyuedao,305139_01_60501,An Ancient Oath,400084_02,Dragon and Tamer,400128_02,Memory of a Friend,400429_02,Dueling Dancers,400050_02,The Plaguebringer,400410_02,Ieyasu,110313_01_r05,Wand,,Summer Patia,110335_02_r05,Weapon,,Gala Mym,100010_04_r05,99 sleep res & always connect hits & hp≤40 & hit15,if s1 aspd bug was fixed,poison:100.0%,x:4588,s1_all:50778,s2:24587,s4:4917,dx:5107,ds_poison:578,ds:7773
106499,Tiki,110360_01_r05,water,dagger,4468,Siren,210054_01,Futsu no Mitama,303129_01_60201,Memory of a Friend,400429_02,Moonlight Party,400448_02,Twinfold Bonds,400097_02,A Passion for Produce,400446_02,His Clever Brother,400169_02,Blade,,Yurius,110362_01_r05,Xander,110022_01_r05,Weapon,,Kleimann,110051_01_r04,0 poison res & 0 frostbite res & hp70 & hit10 & hit15,if dragon damage worked on tiki,frostbite:100.0%;poison:8.3%,x:183,x_ddrive:29998,fs:101,s1:416,s1_ddrive:40746,s1_ddrive_frostbite:5187,s2_ddrive:28769,s4:777,s4_poison:181,dx:135
66462,Yukata Curran,110281_02_r05,light,dagger,4181,Daikokuten,210110_01,Claíomh Solais,303131_01_60401,Memory of a Friend,400429_02,Spirit of the Season,400393_02,Twinfold Bonds,400097_02,A Passion for Produce,400446_02,His Clever Brother,400169_02,Lucretia,110305_01_r05,Peony,110361_01_r05,Sharena,110358_01_r05,Weapon,,Pinon,110366_01_r05,0 frostbite res & 0 paralysis res & 99 stun res & hit15,assume 6 hits per s1 bullet,paralysis:100.0%;frostbite:81.9%;stun:0.2%;team:2.22119%,x:10688,s1:285,s1_extra1:156,s1_extra2:86,s1_extra3:54,s1_extra4:30,s1_extra5:16,s1_maskable:5830,s1_maskable_extra1:3342,s1_maskable_extra2:1838,s1_maskable_extra3:1008,s1_maskable_extra4:554,s1_maskable_extra5:305,s1_maskable_paralysis:1328,s2_maskable:16299,s4:8481,s4_frostbite:1794,dx:11076,ds:3282
89850,Zena,100009_07_r05,shadow,wand,4572,Gala Cat Sìth,200017_01,Jiu Ci,307139_01_60501,Candy Couriers,400135_02,Howling to the Heavens,400395_02,Memory of a Friend,400429_02,His Clever Brother,400169_02,The Plaguebringer,400410_02,Ieyasu,110313_01_r05,Dagger,,Bow,,Weapon,,Xander,110022_01_r05,0 frostbite res & 99 sleep res & always connect hits & hit15,100 extra hits on s2,poison:100.0%;frostbite:90.3%;sleep:1.3%,x:5756,s1:13963,s2:3669,s2_extra:45911,s4:12076,s4_frostbite:2685,dx:2162,ds:3624
