-,sp,_
91184,Zena,100009_07_r05,shadow,wand,4776,Gala Cat Sìth,200017_01,Jiu Ci,307139_01_60501,A Man Unchanging,400459_02,Candy Couriers,400135_02,Memory of a Friend,400429_02,Taiko Tandem,400335_02,The Queen of the Knife,400286_02,Ieyasu,110313_01_r05,Delphi,110336_01_r05,Bow,,Weapon,,Formal Joachim,110350_02_r05,0 stormlash res & 0 poison res & 99 sleep res & always connect hits & hit15,100 extra hits on s2,poison:98.9%;stormlash:93.7%,x:5949,s1:15802,s2:4217,s2_extra:52711,s4:9695,s4_poison:1149,s4_stormlash:1658
-,sp,affliction
85850,Zena,100009_07_r05,shadow,wand,4776,Gala Cat Sìth,200017_01,Jiu Ci,307139_01_60501,A Man Unchanging,400459_02,Candy Couriers,400135_02,Memory of a Friend,400429_02,His Clever Brother,400169_02,The Queen of the Knife,400286_02,Bow,,Curran,110281_01_r05,Summer Patia,110335_02_r05,Weapon,,Xander,110022_01_r05,0 frostbite res & 99 sleep res & always connect hits & hit15,100 extra hits on s2,poison:100.0%;frostbite:93.2%,x:5614,s1:14379,s2:3773,s2_extra:46475,s4:12906,s4_frostbite:2700
